# name	sector	stage	founded	teamSize	tags	tagline
Nagarro	SaaS	Public	1996	5000+	software engineering, services, digital	Global digital engineering firm listed in Frankfurt
NestAway	Consumer	Acquired	2015	201-500	rentals, housing, managed homes	Managed rental homes, acquired by Aurum PropTech
Netcore Cloud	SaaS	Series C+	1997	1001-5000	martech, email, engagement	Customer engagement and email infrastructure
Newgen Software	SaaS	Public	1992	5000+	bpm, ecm, low code	Low-code process automation for banks and insurers
NoBroker	Consumer	Series C+	2014	5000+	real estate, brokerage free, rentals	Brokerage-free property rentals and sales
Noise	D2C	Series C+	2014	501-1000	smartwatches, wearables, audio	India's leading smartwatch and wearables brand
Nucleus Software	SaaS	Public	1986	1001-5000	lending software, banking, fintech	Lending and transaction banking software
Nutrabay	D2C	Series A	2016	51-200	nutrition, supplements, e-commerce	Authentic sports nutrition marketplace
Nykaa	D2C	Public	2012	5000+	beauty, retail, omnichannel	Beauty and lifestyle retailer, listed in 2021
OYO	Consumer	Public	2013	5000+	hospitality, hotels, travel	Budget hotel and homes brand operating globally
OfBusiness	Fintech	Series C+	2015	1001-5000	b2b commerce, raw materials, lending	Raw material commerce paired with SME lending
Okinawa Autotech	Deeptech	Series B	2015	501-1000	electric scooters, ev, manufacturing	Electric two-wheeler manufacturer
Optiemus Electronics	Deeptech	Public	1993	1001-5000	electronics manufacturing, ems, pli	Contract manufacturer for phones and wearables
Oracle India	SaaS	Public	1993	5000+	database, cloud, gcc	Oracle's Noida development centre
Organic India	D2C	Acquired	1997	1001-5000	wellness, ayurveda, tea	Organic wellness, tulsi teas and supplements
Oxyzo	Fintech	Series C+	2016	501-1000	sme lending, nbfc, working capital	SME lending arm of OfBusiness, a unicorn in its own right
Paisabazaar	Fintech	Public	2014	1001-5000	credit, loans, marketplace	Credit and loan marketplace, part of PB Fintech
Paper Boat	D2C	Series C+	2013	501-1000	beverages, juices, fmcg	Traditional Indian drinks in modern packaging
PayU	Fintech	Series C+	2011	1001-5000	payments, gateway, credit	Payment gateway and credit arm of Prosus
Paytm	Fintech	Public	2010	5000+	upi, payments, fintech	Payments super app and India's biggest UPI pioneer
Peak XV Partners	Other	VC	2006	51-200	venture capital, growth, multi stage	India and SEA fund formerly known as Sequoia India
PeopleStrong	SaaS	Series C+	2005	501-1000	hr tech, hcm, payroll	HR technology suite for Asian enterprises
Perfios	Fintech	Series C+	2008	1001-5000	financial data, underwriting, saas	Financial data and decisioning infrastructure for lenders
Perfora	D2C	Series A	2021	51-200	oral care, personal care, d2c	Modern oral care brand
PhysicsWallah	Edtech	Public	2016	5000+	test prep, jee, neet	Affordable exam prep that scaled from YouTube
Pine Labs	Fintech	Public	1998	1001-5000	pos, merchant, payments	Merchant payments and checkout platform
Policybazaar	Fintech	Public	2008	5000+	insurance, marketplace, insurtech	India's largest insurance marketplace
Portronics	D2C	Bootstrapped	2010	51-200	accessories, gadgets, electronics	Consumer gadgets and accessories brand
Pristyn Care	Healthtech	Series C+	2018	1001-5000	surgery, elective care, healthcare	Asset-light network for elective surgeries
Publicis Sapient	SaaS	Public	1990	5000+	digital consulting, engineering, services	Digital business transformation consultancy
Quess Corp	Other	Public	2007	5000+	staffing, workforce, services	India's largest staffing and workforce firm
R Systems	SaaS	Public	1993	5000+	product engineering, services, analytics	Product engineering and analytics services
REA India (Housing.com, PropTiger)	Consumer	Acquired	2012	1001-5000	real estate, listings, proptech	Runs Housing.com, PropTiger and Makaan
Rage Coffee	D2C	Series A	2018	51-200	coffee, instant, d2c	Plant-based instant coffee brand
Rapido	Consumer	Series C+	2015	1001-5000	bike taxi, mobility, ride hailing	Bike taxi and auto ride-hailing network
Razorpay	Fintech	Series C+	2014	1001-5000	payments, neobanking, api	Payments and business banking for internet companies
ReNew	Deeptech	Public	2011	1001-5000	renewables, wind, solar	One of India's largest renewable energy producers
Recur Club	Fintech	Series A	2021	51-200	revenue financing, debt, saas	Debt marketplace for growth-stage companies
RentoMojo	Consumer	Series C+	2014	501-1000	furniture rental, subscription	Furniture and appliance rental subscriptions
Revolt Motors	Deeptech	Acquired	2017	201-500	electric motorcycles, ev	Electric motorcycle maker, owned by RattanIndia
Rivigo	Logistics	Acquired	2014	1001-5000	trucking, relay, logistics	Relay trucking pioneer, acquired by Mahindra Logistics
Rooter	Gaming	Series B	2016	201-500	game streaming, esports, creators	Game streaming and esports content platform
SAMHI Hotels	Consumer	Public	2010	1001-5000	hotels, hospitality, real estate	Hotel asset owner across Indian business districts
SAP Labs India	SaaS	Public	1998	5000+	enterprise software, erp, gcc	SAP's Gurugram office within its India network
SOLV	Fintech	Series B	2019	201-500	b2b commerce, sme, embedded finance	B2B commerce and credit platform for SMEs
SRF Limited	Other	Public	1970	5000+	chemicals, packaging, manufacturing	Specialty chemicals and packaging films maker
Salesforce India	SaaS	Public	2005	1001-5000	crm, cloud, gcc	Salesforce's Gurugram sales and solutions office
Samsung R&D Institute Noida	Deeptech	Public	1996	5000+	r&d, mobile, gcc	Samsung's Noida R&D centre for mobile software
Scaler	Edtech	Series C+	2019	501-1000	upskilling, engineering, careers	Career-focused upskilling for software engineers
Shaadi.com	Consumer	Series C+	1996	1001-5000	matrimony, marketplace	One of India's oldest matrimony platforms
Shadowfax	Logistics	Series C+	2015	5000+	last mile, delivery, quick commerce	Crowdsourced last-mile delivery network
Shiprocket	Logistics	Series C+	2017	1001-5000	shipping, d2c enablement, logistics	Shipping and fulfilment stack for D2C sellers
ShopClues	Consumer	Acquired	2011	51-200	marketplace, e-commerce, value	Value-focused marketplace, acquired by Qoo10
Signzy	Fintech	Series B	2015	201-500	kyc, onboarding, compliance	Digital onboarding and KYC infrastructure for banks
Sirion	SaaS	Series C+	2012	1001-5000	clm, contracts, ai	AI-native contract lifecycle management
Sleepy Owl Coffee	D2C	Series A	2016	51-200	coffee, cold brew, d2c	Cold brew and instant coffee brand
Snapdeal	Consumer	Series C+	2010	1001-5000	e-commerce, value, marketplace	Value e-commerce marketplace for bharat
Spinny	Consumer	Series C+	2015	5000+	used cars, retail, auto	Fixed-price used car retail with 5-day returns
Sportskeeda	Consumer	Series B	2009	201-500	sports media, content, publishing	Sports media property with global readership
Square Yards	Consumer	Series C+	2013	5000+	real estate, brokerage, proptech	Full-stack real estate transaction platform
Stanza Living	Consumer	Series C+	2017	1001-5000	student housing, co living, rentals	Managed student housing and co-living
Staqu Technologies	AI	Series A	2015	51-200	video analytics, ai, policing	Video analytics AI used in policing and factories
Statiq	Deeptech	Series A	2019	51-200	ev charging, infrastructure, cleantech	EV charging network across Indian cities
Stride Ventures	Other	VC	2019	51-200	venture debt, growth capital	Venture debt fund for growth-stage startups
SunSource Energy	Deeptech	Series B	2011	201-500	solar, c&i, distributed energy	Distributed solar for commercial and industrial users
Sunstone	Edtech	Series C+	2018	501-1000	higher education, placement, colleges	Placement-linked programmes inside partner colleges
TO THE NEW	SaaS	Bootstrapped	2008	1001-5000	digital engineering, cloud, services	Digital technology services company
TVF	Consumer	Series B	2010	201-500	streaming, web series, content	Web series studio behind Kota Factory and Panchayat
Tata 1mg	Healthtech	Acquired	2015	5000+	epharmacy, diagnostics, healthcare	Online pharmacy and diagnostics, owned by Tata Digital
TeamLease	Other	Public	2000	5000+	staffing, workforce, apprenticeship	Staffing and employment services company
Tech Mahindra	Other	Public	1986	5000+	it services, telecom, enterprise	IT services major with a large Noida presence
Testbook	Edtech	Series C+	2014	1001-5000	test prep, government exams, mock tests	Test prep for government and competitive exams
The Man Company	D2C	Series B	2015	201-500	grooming, mens care, d2c	Premium men's grooming brand
Times Internet	Other	Public	1999	1001-5000	digital media, internet, publishing	Digital arm of the Times Group
Toppr	Edtech	Acquired	2013	201-500	k12, adaptive learning	Adaptive K-12 learning platform, acquired by BYJU'S
TravelTriangle	Consumer	Acquired	2011	201-500	holidays, travel, marketplace	Holiday package marketplace
Trifecta Capital	Other	VC	2014	51-200	venture debt, growth capital	Venture debt and growth capital provider
Turtlemint	Fintech	Series C+	2015	1001-5000	insurance, distribution, advisors	Insurance distribution through advisor networks
Uber India	Consumer	Public	2013	1001-5000	ride hailing, mobility, gcc	Uber's India operations and engineering presence
Udaan	Consumer	Series C+	2016	5000+	b2b, kirana, wholesale	B2B wholesale marketplace for retailers
Ultrahuman	Deeptech	Series C+	2019	201-500	wearables, health, metabolic	Smart ring and metabolic health wearables
Unacademy	Edtech	Series C+	2015	1001-5000	live classes, test prep, edtech	Live online learning and test prep platform
Upstox	Fintech	Series C+	2009	1001-5000	broking, investing, discount	Discount broking app backed by Tiger and Ratan Tata
Urban Company	Consumer	Public	2014	5000+	home services, marketplace, gig	At-home services marketplace, listed in 2025
Vahdam Teas	D2C	Series C+	2015	201-500	tea, exports, d2c	Indian tea brand selling direct to global consumers
Vecmocon	Deeptech	Series A	2016	51-200	ev components, bms, telematics	EV intelligence systems and battery management
VerSe Innovation	Consumer	Series C+	2007	1001-5000	short video, news, vernacular	Parent of Dailyhunt and Josh
Waaree Energies	Deeptech	Public	1989	5000+	solar modules, manufacturing, renewables	India's largest solar module manufacturer
Whatfix	SaaS	Series C+	2014	1001-5000	digital adoption, saas, enablement	Digital adoption platform for enterprise software
WinZO	Gaming	Series C+	2018	201-500	social gaming, vernacular, skill games	Vernacular social gaming platform
Wingify (VWO)	SaaS	Bootstrapped	2009	201-500	a/b testing, cro, experimentation	Bootstrapped maker of VWO experimentation software
Wingreens Farms	D2C	Series C+	2011	1001-5000	dips, sauces, fmcg	Dips, spreads and healthy foods brand
Wow! Momo	Consumer	Series C+	2008	5000+	qsr, momos, food	Momo-first QSR chain across Indian cities
Xebia India	SaaS	Series C+	2001	1001-5000	consulting, cloud, engineering	Technology consulting and engineering firm
Xpressbees	Logistics	Series C+	2015	5000+	logistics, express, e-commerce	Express logistics for e-commerce and D2C
Yatra	Consumer	Public	2006	1001-5000	travel, corporate travel, otm	Consumer and corporate travel booking platform
YourStory Media	Other	Series B	2008	51-200	media, startup news, publishing	Startup media platform covering Indian entrepreneurship
Yubi	Fintech	Series C+	2020	1001-5000	debt markets, lending infrastructure	Debt marketplace connecting lenders and borrowers
Z47	Other	VC	2006	51-200	venture capital, early stage	Early-stage VC, formerly Matrix Partners India
Zenatix	Deeptech	Acquired	2013	51-200	iot, energy management, buildings	IoT energy management for retail chains
Zimyo	SaaS	Series A	2018	201-500	hr software, payroll, hcm	HR and payroll software for growing companies
Zoho	SaaS	Bootstrapped	1996	5000+	saas, business software, bootstrapped	Bootstrapped business software suite
Zolo	Consumer	Series C+	2015	501-1000	co living, student housing, rentals	Co-living and managed accommodation operator
Zomato	Consumer	Public	2008	5000+	food delivery, restaurants, consumer	Food delivery and restaurant discovery platform
Zostel	Consumer	Series A	2013	201-500	hostels, backpacking, travel	Backpacker hostel chain across India
Zupee	Gaming	Series C+	2018	201-500	skill gaming, ludo, real money	Skill-based casual gaming, best known for Ludo
Zyod	Consumer	Series A	2022	201-500	apparel manufacturing, b2b, sourcing	Tech-enabled apparel manufacturing for brands
Zypp Electric	Logistics	Series C+	2017	1001-5000	ev delivery, fleet, last mile	Electric two-wheeler fleet for last-mile delivery
bijnis	Consumer	Series C+	2015	501-1000	b2b, footwear, manufacturing	B2B marketplace connecting factories to retailers
boAt	D2C	Series C+	2016	501-1000	audio, wearables, consumer electronics	India's biggest audio wearables brand
iD Fresh Food	D2C	Series C+	2005	1001-5000	fresh food, batter, fmcg	Preservative-free idli batter and fresh foods
ideaForge	Deeptech	Public	2007	501-1000	drones, uav, defence	Drone maker for defence, mapping and security
ixigo	Consumer	Public	2007	501-1000	travel, trains, flights	Travel app strongest in trains and buses
upGrad	Edtech	Series C+	2015	1001-5000	upskilling, degrees, careers	Online higher education and career upskilling
